token,freq_human,freq_ai,diff_ai_human,rank
includ,33926,43730,9804,144
debat,7506,17307,9801,145
associ,4884,14666,9782,146
disadvantag,7607,17288,9681,147
conveni,6515,16113,9598,148
physic,22198,31779,9581,149
art,11531,20923,9392,150
impress,12925,22290,9365,151
smaller,9153,18515,9362,152
structur,7592,16938,9346,153
appeal,9913,19192,9279,154
confid,12376,21635,9259,155
overcom,4013,13266,9253,156
employ,2127,11345,9218,157
livabl,266,9451,9185,158
data,4570,13641,9071,159
practic,24967,34037,9070,160
cost,21684,30751,9067,161
insight,7836,16860,9024,162
furthermor,29829,38823,8994,163
diseas,3415,12390,8975,164
local,5119,14040,8921,165
enhanc,2724,11593,8869,166
competit,3658,12420,8762,167
perform,16329,25077,8748,168
effect,56454,65163,8709,169
effici,15522,24197,8675,170
account,6050,14618,8568,171
relianc,1206,9763,8557,172
broad,4847,13370,8523,173
aspect,12272,20777,8505,174
cooper,1789,10291,8502,175
meaning,2518,11016,8498,176
fac,18763,27239,8476,177
hey,4593,13024,8431,178
understand,86847,95255,8408,179
recent,13485,21892,8407,180
financi,3319,11716,8397,181
tool,7579,15965,8386,182
sole,2450,10820,8370,183
shape,11353,19700,8347,184
serv,9919,18248,8329,185
evalu,1578,9852,8274,186
determin,12454,20718,8264,187
gun,1050,9277,8227,188
valuabl,26721,34818,8097,189
measur,2390,10471,8081,190
reflect,5933,13958,8025,191
strong,18745,26739,7994,192
varieti,7343,15320,7977,193
languag,4539,12450,7911,194
marijuana,65,7933,7868,195
cycl,1029,8852,7823,196
resili,151,7939,7788,197
integr,1588,9366,7778,198
regardless,2744,10477,7733,199
build,24437,32139,7702,200
