feature,coefficient,rank
make hard,0.9049303027365497,90
traffic congest,0.9039476408137891,91
elector vote,0.8996042659725466,92
yeah,0.8989988275243402,93
overwhelm,0.8966829374491853,94
sarah,0.8887547505542885,95
complex,0.8865088411413132,96
onlin class,0.8864725944130124,97
comput game,0.8850244982351999,98
recent,0.8838059583478375,99
nowaday,0.8836018050161212,100
connect,0.8823854044344377,101
featur,0.8809914593630949,102
presid elect,0.878641893320846,103
student choos,0.8718935354571294,104
embrac,0.8642063179486243,105
analyz,0.8631114230878807,106
concept,0.8554352097984422,107
tradit,0.8553302824109547,108
growth,0.852223903197512,109
invest,0.8498317484155785,110
negat impact,0.8480650863757321,111
smaller,0.8448662531668646,112
good idea,0.8445826747063527,113
conveni,0.8413536437604923,114
initi,0.8375332623695324,115
particular,0.837111233203002,116
gun,0.8367760408588033,117
grader,0.8254605848312996,118
import,0.8249128497639139,119
challeng,0.8229908117125921,120
quick,0.821215735383786,121
offer,0.8194388577527569,122
evalu,0.8188357981235458,123
make good,0.8183502191975117,124
attempt write,0.8017177688418237,125
academ perform,0.8002020668443082,126
commit,0.7986540760948064,127
research,0.796572766723139,128
true,0.7902196541023373,129
help teacher,0.7901211518754117,130
medit,0.7899704204052779,131
posit impact,0.7887979573146945,132
exampl ask,0.7877949129829876,133
feedback,0.783266740609543,134
varieti,0.7821857642682982,135
believ student,0.7779047321390478,136
measur,0.7777298788827492,137
write essay,0.7773202426954241,138
look good,0.7764879707023464,139
critic,0.772995046803544,140
elect class,0.7724705332655311,141
engin,0.7699926256054012,142
pretti,0.7690987291949501,143
talk person,0.7672952048918064,144
say driverless,0.7659168684777923,145
need make,0.7649654804610877,146
compet,0.7634783475896961,147
sens,0.7630263023671825,148
rang,0.7577079145063993,149
help reduc,0.7568609810360707,150
help parent,0.7565968368151117,151
worth,0.7558185946365206,152
phone capac,0.7543276731498697,153
bunch,0.7530513750444776,154
smith,0.7477101501365461,155
grade teacher,0.7477072208128974,156
seek multipl,0.7469234942915663,157
main reason,0.7465411011549883,158
number,0.7450002304593718,159
author say,0.7444271185893514,160
new skill,0.7429359193842268,161
zoo,0.742704080183833,162
resili,0.7425761220920597,163
uniqu,0.7420825493322358,164
tutor,0.7387478978801694,165
ownership,0.7383381494018572,166
good school,0.7256759969717139,167
cultur,0.7231355083237649,168
car road,0.7231306198231179,169
oneself,0.7224331061731292,170
discourag,0.7224134276702259,171
meat,0.7218863413087433,172
help develop,0.7212667398097806,173
learn grow,0.7198448322476055,174
flexibl,0.7197587941888568,175
fewer car,0.7192647703029895,176
presid unit,0.7188373748334593,177
combin,0.718744791948997,178
small state,0.7173635650256556,179
health,0.7157116553342817,180
introduct,0.7100520138329331,181
drop,0.709949335434777,182
vote state,0.7073380883990207,183
undemocrat,0.7062015104662944,184
rural,0.7054837353980472,185
academ,0.7048764030597139,186
lifelong process,0.7032269063549593,187
easier peopl,0.7025767472381557,188
collabor,0.7021926925098501,189
write today,0.7019416855448906,190
autonomi,0.7012002470031506,191
idea concept,0.6998644006006207,192
high school,0.6983991153208237,193
tough,0.6964753704130632,194
behavior,0.6947856006961903,195
learn good,0.6935427278750643,196
pursu,0.693223229794405,197
older peopl,0.6921798108837116,198
let real,0.6906515654461651,199
contrast,0.6905072298913819,200
